Date,ID,Result,Page,Process Time
2018-07-10,00147,"6,10,16,20,27,29,24",41,2022-05-07 07:56:43.155266
2018-07-12,00148,"8,15,18,21,24,49,22",41,2022-05-07 07:56:43.155266
2018-07-14,00149,"4,19,23,34,38,50,1",41,2022-05-07 07:56:43.155266
2018-07-17,00150,"5,14,22,27,31,40,48",40,2022-05-07 07:56:43.155266
2018-07-19,00151,"11,13,28,34,44,47,10",40,2022-05-07 07:56:43.155266
2018-07-21,00152,"7,31,33,37,46,52,28",40,2022-05-07 07:56:43.155266
2018-07-24,00153,"11,18,34,37,50,53,20",40,2022-05-07 07:56:43.155266
2018-07-26,00154,"21,24,33,37,40,46,52",40,2022-05-07 07:56:43.155266
2018-07-28,00155,"11,16,22,25,30,40,9",40,2022-05-07 07:56:43.155266
2018-07-31,00156,"1,5,27,31,47,50,41",40,2022-05-07 07:56:43.155266
2018-08-02,00157,"6,11,16,17,41,55,7",40,2022-05-07 07:56:43.155266
2018-08-04,00158,"11,12,24,32,41,48,3",39,2022-05-07 07:56:43.155266
2018-08-07,00159,"3,9,15,20,39,49,4",39,2022-05-07 07:56:43.155266
2018-08-09,00160,"24,29,32,33,49,55,9",39,2022-05-07 07:56:43.155266
2018-08-11,00161,"16,17,31,33,42,44,14",39,2022-05-07 07:56:43.155266
2018-08-14,00162,"29,30,36,38,45,52,46",39,2022-05-07 07:56:43.155266
2018-08-16,00163,"6,10,34,46,48,51,47",39,2022-05-07 07:56:43.155266
2018-08-18,00164,"7,33,36,39,51,55,11",39,2022-05-07 07:56:43.155266
2018-08-21,00165,"9,12,14,23,32,46,31",39,2022-05-07 07:56:43.155266
2018-08-23,00166,"14,18,27,38,39,53,2",38,2022-05-07 07:56:43.155266
2018-08-25,00167,"10,11,15,32,40,48,27",38,2022-05-07 07:56:43.155266
2018-08-28,00168,"2,10,15,31,39,48,23",38,2022-05-07 07:56:43.155266
2018-08-30,00169,"5,22,28,42,49,54,36",38,2022-05-07 07:56:43.155266
2018-09-01,00170,"2,8,20,21,28,36,5",38,2022-05-07 07:56:43.155266
2018-09-04,00171,"8,18,20,29,34,37,51",38,2022-05-07 07:56:43.155266
2018-09-06,00172,"4,11,15,21,24,27,7",38,2022-05-07 07:56:43.155266
2018-09-08,00173,"9,11,12,24,35,43,15",38,2022-05-07 07:56:43.155266
2018-09-11,00174,"13,17,28,42,45,49,50",37,2022-05-07 07:56:43.155266
2018-09-13,00175,"4,6,7,26,40,44,9",37,2022-05-07 07:56:43.155266
2018-09-15,00176,"2,5,28,30,46,50,49",37,2022-05-07 07:56:43.183267
2018-09-18,00177,"8,21,32,43,48,53,38",37,2022-05-07 07:56:43.183267
2018-09-20,00178,"3,32,35,46,47,49,51",37,2022-05-07 07:56:43.183267
2018-09-22,00179,"1,8,17,28,40,50,21",37,2022-05-07 07:56:43.183267
2018-09-25,00180,"2,3,6,13,14,17,9",37,2022-05-07 07:56:43.203268
2018-09-27,00181,"8,12,29,35,51,54,34",37,2022-05-07 07:56:43.203268
2018-09-29,00182,"3,7,12,32,34,55,38",36,2022-05-07 07:56:43.203268
2018-10-02,00183,"3,7,28,32,33,37,22",36,2022-05-07 07:56:43.203268
2018-10-04,00184,"3,9,12,17,34,42,46",36,2022-05-07 07:56:43.203268
2018-10-06,00185,"5,6,16,42,48,51,3",36,2022-05-07 07:56:43.203268
2018-10-09,00186,"10,27,46,50,51,55,1",36,2022-05-07 07:56:43.203268
2018-10-11,00187,"5,16,17,37,46,49,35",36,2022-05-07 07:56:43.203268
2018-10-13,00188,"12,21,23,44,47,48,43",36,2022-05-07 07:56:43.203268
2018-10-16,00189,"5,28,29,34,42,46,17",36,2022-05-07 07:56:43.203268
2018-10-18,00190,"1,11,22,34,42,47,30",35,2022-05-07 07:56:43.203268
2018-10-20,00191,"2,5,10,17,35,41,21",35,2022-05-07 07:56:43.203268
2018-10-23,00192,"1,3,6,13,21,30,36",35,2022-05-07 07:56:43.203268
2018-10-25,00193,"16,23,29,31,45,48,19",35,2022-05-07 07:56:43.203268
2018-10-27,00194,"8,9,15,21,44,49,16",35,2022-05-07 07:56:43.203268
2018-10-30,00195,"1,12,22,27,30,39,46",35,2022-05-07 07:56:43.203268
2018-11-01,00196,"3,11,15,42,44,54,41",35,2022-05-07 07:56:43.203268
2018-11-03,00197,"14,17,20,23,25,45,34",35,2022-05-07 07:56:43.203268
2018-11-06,00198,"19,22,23,43,47,53,3",34,2022-05-07 07:56:43.203268
2018-11-08,00199,"22,28,31,39,52,53,14",34,2022-05-07 07:56:43.203268
2018-11-10,00200,"3,5,19,22,29,39,15",34,2022-05-07 07:56:43.203268
2018-11-13,00201,"3,25,26,32,41,47,5",34,2022-05-07 07:56:43.203268
2018-11-15,00202,"13,16,21,40,49,52,54",34,2022-05-07 07:56:43.207268
2018-11-17,00203,"12,22,26,29,45,47,15",34,2022-05-07 07:56:43.207268
2018-11-20,00204,"9,23,33,40,44,49,17",34,2022-05-07 07:56:43.207268
2018-11-22,00205,"17,22,24,28,37,44,6",34,2022-05-07 07:56:43.207268
2018-11-24,00206,"3,10,11,25,40,54,17",33,2022-05-07 07:56:43.207268
2018-11-27,00207,"3,5,23,28,35,44,8",33,2022-05-07 07:56:43.207268
2018-11-29,00208,"10,23,27,42,51,52,20",33,2022-05-07 07:56:43.207268
2018-12-01,00209,"3,5,12,20,25,33,41",33,2022-05-07 07:56:43.207268
2018-12-04,00210,"10,13,16,23,30,49,24",33,2022-05-07 07:56:43.211268
2018-12-06,00211,"9,13,23,27,39,42,49",33,2022-05-07 07:56:43.211268
2018-12-08,00212,"3,6,9,31,48,54,53",33,2022-05-07 07:56:43.211268
2018-12-11,00213,"1,5,11,37,39,44,31",33,2022-05-07 07:56:43.211268
2018-12-13,00214,"2,11,14,36,49,55,53",32,2022-05-07 07:56:43.211268
2018-12-15,00215,"14,17,49,52,53,55,12",32,2022-05-07 07:56:43.211268
2018-12-18,00216,"1,9,15,17,25,26,8",32,2022-05-07 07:56:43.211268
2018-12-20,00217,"8,17,24,33,34,44,55",32,2022-05-07 07:56:43.211268
2018-12-22,00218,"3,8,16,35,39,52,29",32,2022-05-07 07:56:43.211268
2018-12-25,00219,"3,9,17,21,23,51,15",32,2022-05-07 07:56:43.211268
2018-12-27,00220,"5,20,33,42,43,50,40",32,2022-05-07 07:56:43.211268
2018-12-29,00221,"8,36,42,43,50,52,30",32,2022-05-07 07:56:43.211268
2019-01-01,00222,"2,19,21,27,37,46,12",31,2022-05-07 07:56:43.211268
2019-01-03,00223,"23,31,37,45,49,54,18",31,2022-05-07 07:56:43.211268
2019-01-05,00224,"10,11,38,47,53,55,51",31,2022-05-07 07:56:43.211268
2019-01-08,00225,"3,5,9,11,45,48,40",31,2022-05-07 07:56:43.211268
2019-01-10,00226,"12,22,31,35,40,47,8",31,2022-05-07 07:56:43.211268
2019-01-12,00227,"7,13,14,26,42,54,11",31,2022-05-07 07:56:43.211268
2019-01-15,00228,"4,6,13,22,29,30,52",31,2022-05-07 07:56:43.211268
2019-01-17,00229,"13,14,22,34,35,55,54",31,2022-05-07 07:56:43.211268
2019-01-19,00230,"13,29,42,46,51,53,36",30,2022-05-07 07:56:43.211268
2019-01-22,00231,"1,14,22,40,52,55,21",30,2022-05-07 07:56:43.211268
2019-01-24,00232,"31,35,38,44,49,55,24",30,2022-05-07 07:56:43.211268
2019-01-26,00233,"20,27,33,43,53,54,48",30,2022-05-07 07:56:43.211268
2019-01-29,00234,"15,20,26,41,45,55,10",30,2022-05-07 07:56:43.211268
2019-01-31,00235,"10,19,20,28,34,44,29",30,2022-05-07 07:56:43.211268
2019-02-02,00236,"11,23,27,35,36,46,37",30,2022-05-07 07:56:43.211268
2019-02-07,00237,"20,27,28,32,47,50,41",30,2022-05-07 07:56:43.211268
2019-02-09,00238,"2,14,15,44,46,50,18",29,2022-05-07 07:56:43.211268
2019-02-12,00239,"1,12,17,34,48,49,47",29,2022-05-07 07:56:43.211268
2019-02-14,00240,"8,15,26,41,43,53,46",29,2022-05-07 07:56:43.211268
2019-02-16,00241,"5,8,14,28,37,40,41",29,2022-05-07 07:56:43.211268
2019-02-19,00242,"12,18,22,29,32,52,51",29,2022-05-07 07:56:43.211268
2019-02-21,00243,"3,10,11,15,29,34,50",29,2022-05-07 07:56:43.211268
2019-02-23,00244,"16,19,30,39,43,52,21",29,2022-05-07 07:56:43.211268
2019-02-26,00245,"8,9,16,34,42,43,45",29,2022-05-07 07:56:43.211268
2019-02-28,00246,"4,15,19,34,40,42,49",28,2022-05-07 07:56:43.211268
2019-03-02,00247,"1,2,3,20,46,48,31",28,2022-05-07 07:56:43.211268
2019-03-05,00248,"1,15,23,51,53,55,26",28,2022-05-07 07:56:43.211268
2019-03-07,00249,"2,14,20,33,41,47,27",28,2022-05-07 07:56:43.211268
2019-03-09,00250,"18,24,31,34,35,44,52",28,2022-05-07 07:56:43.211268
2019-03-12,00251,"9,16,26,34,44,49,19",28,2022-05-07 07:56:43.211268
2019-03-14,00252,"18,21,25,35,44,53,4",28,2022-05-07 07:56:43.211268
2019-03-16,00253,"10,18,22,24,35,40,53",28,2022-05-07 07:56:43.211268
2019-03-19,00254,"8,28,32,35,40,45,34",27,2022-05-07 07:56:43.211268
2019-03-21,00255,"7,18,32,42,46,53,28",27,2022-05-07 07:56:43.211268
2019-03-23,00256,"3,9,30,41,46,52,22",27,2022-05-07 07:56:43.211268
2019-03-26,00257,"15,19,28,40,44,48,14",27,2022-05-07 07:56:43.211268
2019-03-28,00258,"3,23,37,43,44,49,27",27,2022-05-07 07:56:43.211268
2019-03-30,00259,"3,15,18,35,50,54,32",27,2022-05-07 07:56:43.211268
2019-04-02,00260,"1,4,9,20,22,26,48",27,2022-05-07 07:56:43.211268
2019-04-04,00261,"16,26,29,38,47,51,13",27,2022-05-07 07:56:43.211268
2019-04-06,00262,"1,20,30,41,46,50,48",26,2022-05-07 07:56:43.211268
2019-04-09,00263,"10,14,19,36,48,49,3",26,2022-05-07 07:56:43.211268
2019-04-11,00264,"1,8,31,32,37,55,53",26,2022-05-07 07:56:43.215268
2019-04-13,00265,"9,13,20,21,36,43,32",26,2022-05-07 07:56:43.215268
2019-04-16,00266,"16,29,32,33,52,53,5",26,2022-05-07 07:56:43.215268
2019-04-18,00267,"7,8,15,24,26,48,10",26,2022-05-07 07:56:43.215268
2019-04-20,00268,"8,10,12,24,40,44,51",26,2022-05-07 07:56:43.215268
2019-04-23,00269,"20,21,22,31,43,45,30",26,2022-05-07 07:56:43.215268
2019-04-25,00270,"16,22,23,33,36,38,45",25,2022-05-07 07:56:43.215268
2019-04-27,00271,"1,11,22,26,33,51,4",25,2022-05-07 07:56:43.215268
2019-04-30,00272,"3,5,13,40,41,45,52",25,2022-05-07 07:56:43.215268
2019-05-02,00273,"2,10,16,17,33,36,20",25,2022-05-07 07:56:43.215268
2019-05-04,00274,"1,2,3,17,26,53,50",25,2022-05-07 07:56:43.215268
2019-05-07,00275,"3,6,7,8,9,49,24",25,2022-05-07 07:56:43.215268
2019-05-09,00276,"19,21,48,49,54,55,27",25,2022-05-07 07:56:43.215268
2019-05-11,00277,"6,11,20,22,26,28,36",25,2022-05-07 07:56:43.215268
2019-05-14,00278,"6,11,15,21,30,40,10",24,2022-05-07 07:56:43.215268
2019-05-16,00279,"8,28,30,33,40,43,24",24,2022-05-07 07:56:43.215268
2019-05-18,00280,"6,10,13,18,29,38,53",24,2022-05-07 07:56:43.215268
2019-05-21,00281,"11,12,29,31,37,53,41",24,2022-05-07 07:56:43.215268
2019-05-23,00282,"13,21,33,42,53,55,44",24,2022-05-07 07:56:43.215268
2019-05-25,00283,"4,12,35,44,50,55,19",24,2022-05-07 07:56:43.215268
2019-05-28,00284,"15,22,31,32,33,37,51",24,2022-05-07 07:56:43.215268
2019-05-30,00285,"17,31,33,34,37,40,35",24,2022-05-07 07:56:43.215268
2019-06-01,00286,"10,24,31,41,42,47,20",23,2022-05-07 07:56:43.215268
2019-06-04,00287,"18,20,24,26,33,41,55",23,2022-05-07 07:56:43.215268
2019-06-06,00288,"10,13,30,36,51,54,16",23,2022-05-07 07:56:43.215268
2019-06-08,00289,"2,8,10,23,27,35,47",23,2022-05-07 07:56:43.215268
2019-06-11,00290,"2,5,13,20,30,49,35",23,2022-05-07 07:56:43.215268
2019-06-13,00291,"6,9,15,22,29,53,25",23,2022-05-07 07:56:43.215268
2019-06-15,00292,"13,23,40,45,52,55,9",23,2022-05-07 07:56:43.215268
2019-06-18,00293,"24,31,45,46,47,54,4",23,2022-05-07 07:56:43.215268
2019-06-20,00294,"9,15,23,41,49,51,52",22,2022-05-07 07:56:43.215268
